open_year,open_month,case_status,case_count
2013,10,Closed,8
2013,10,Open,99
2013,11,Closed,4
2013,11,Open,164
2013,12,Closed,9
2013,12,Open,120
2014,1,Closed,6
2014,1,Open,105
2014,2,Closed,5
2014,2,Open,126
2014,3,Closed,49
2014,3,Open,143
2014,4,Closed,7
2014,4,Open,167
2014,5,Closed,12
2014,5,Open,265
2014,6,Closed,10
2014,6,Open,263
2014,7,Closed,20
2014,7,Open,303
2014,8,Closed,22
2014,8,Open,434
2014,9,Closed,14
2014,9,Open,256
2014,10,Closed,11
2014,10,Open,184
2014,11,Closed,17
2014,11,Open,146
2014,12,Closed,10
2014,12,Open,143
2015,1,Closed,17
2015,1,Open,133
2015,2,Closed,25
2015,2,Open,210
2015,3,Closed,30
2015,3,Open,197
2015,4,Closed,21
2015,4,Open,262
2015,5,Closed,20
2015,5,Open,295
2015,6,Closed,22
2015,6,Open,328
2015,7,Closed,16
2015,7,Open,279
2015,8,Closed,19
2015,8,Open,423
2015,9,Closed,17
2015,9,Open,298
2015,10,Closed,17
2015,10,Open,225
2015,11,Closed,15
2015,11,Open,156
2015,12,Closed,82
2015,12,Open,61
2016,1,Closed,103
2016,1,Open,48
2016,2,Closed,125
2016,2,Open,85
2016,3,Closed,113
2016,3,Open,112
2016,4,Closed,88
2016,4,Open,144
2016,5,Closed,115
2016,5,Open,179
2016,6,Closed,121
2016,6,Open,240
2016,7,Closed,100
2016,7,Open,183
2016,8,Closed,92
2016,8,Open,236
2016,9,Closed,179
2016,9,Open,132
2016,10,Closed,189
2016,10,Open,65
2016,11,Closed,105
2016,11,Open,70
2016,12,Closed,103
2016,12,Open,85
2017,1,Closed,119
2017,1,Open,43
2017,2,Closed,107
2017,2,Open,97
2017,3,Closed,112
2017,3,Open,105
2017,4,Closed,135
2017,4,Open,129
2017,5,Closed,187
2017,5,Open,114
2017,6,Closed,153
2017,6,Open,176
2017,7,Closed,162
2017,7,Open,141
2017,8,Closed,244
2017,8,Open,148
2017,9,Closed,166
2017,9,Open,114
2017,10,Closed,145
2017,10,Open,88
2017,11,Closed,58
2017,11,Open,115
2017,12,Closed,64
2017,12,Open,114
2018,1,Closed,80
2018,1,Open,70
2018,2,Closed,92
2018,2,Open,69
2018,3,Closed,44
2018,3,Open,155
2018,4,Closed,46
2018,4,Open,179
2018,5,Closed,33
2018,5,Open,307
2018,6,Closed,160
2018,6,Open,131
2018,7,Closed,148
2018,7,Open,219
2018,8,Closed,146
2018,8,Open,184
2018,9,Closed,59
2018,9,Open,268
2018,10,Closed,51
2018,10,Open,202
2018,11,Closed,91
2018,11,Open,86
2018,12,Closed,97
2018,12,Open,62
2019,1,Closed,106
2019,1,Open,94
2019,2,Closed,80
2019,2,Open,106
2019,3,Closed,15
2019,3,Open,195
2019,4,Closed,32
2019,4,Open,259
2019,5,Closed,25
2019,5,Open,325
2019,6,Closed,34
2019,6,Open,309
2019,7,Closed,42
2019,7,Open,373
2019,8,Closed,49
2019,8,Open,422
2019,9,Closed,26
2019,9,Open,322
2019,10,Closed,34
2019,10,Open,272
2019,11,Closed,21
2019,11,Open,208
2019,12,Closed,19
2019,12,Open,140
2020,1,Closed,18
2020,1,Open,191
2020,2,Closed,21
2020,2,Open,211
2020,3,Closed,20
2020,3,Open,153
2020,4,Closed,13
2020,4,Open,159
2020,5,Closed,34
2020,5,Open,272
2020,6,Closed,40
2020,6,Open,277
2020,7,Closed,26
2020,7,Open,325
2020,8,Closed,38
2020,8,Open,415
2020,9,Closed,39
2020,9,Open,311
2020,10,Closed,97
2020,10,Open,190
2020,11,Closed,136
2020,11,Open,61
2020,12,Closed,111
2020,12,Open,81
2021,1,Closed,180
2021,1,Open,43
2021,2,Closed,158
2021,2,Open,41
2021,3,Closed,228
2021,3,Open,44
2021,4,Closed,281
2021,4,Open,64
2021,5,Closed,362
2021,5,Open,102
2021,6,Closed,374
2021,6,Open,64
2021,7,Closed,383
2021,7,Open,79
2021,8,Closed,385
2021,8,Open,66
2021,9,Closed,286
2021,9,Open,115
2021,10,Closed,296
2021,10,Open,52
2021,11,Closed,240
2021,11,Open,41
2021,12,Closed,190
2021,12,Open,32
2022,1,Closed,193
2022,1,Open,33
2022,2,Closed,195
2022,2,Open,29
2022,3,Closed,201
2022,3,Open,48
2022,4,Closed,276
2022,4,Open,67
2022,5,Closed,385
2022,5,Open,72
2022,6,Closed,364
2022,6,Open,65
2022,7,Closed,411
2022,7,Open,52
2022,8,Closed,367
2022,8,Open,38
2022,9,Closed,356
2022,9,Open,53
2022,10,Closed,261
2022,10,Open,40
2022,11,Closed,226
2022,11,Open,33
2022,12,Closed,247
2022,12,Open,23
2023,1,Closed,180
2023,1,Open,14
2023,2,Closed,230
2023,2,Open,20
2023,3,Closed,286
2023,3,Open,29
2023,4,Closed,312
2023,4,Open,52
2023,5,Closed,400
2023,5,Open,56
2023,6,Closed,372
2023,6,Open,68
2023,7,Closed,428
2023,7,Open,54
2023,8,Closed,454
2023,8,Open,49
2023,9,Closed,339
2023,9,Open,55
2023,10,Closed,254
2023,10,Open,32
2023,11,Closed,211
2023,11,Open,31
2023,12,Closed,210
2023,12,Open,15
2024,1,Closed,157
2024,1,Open,59
2024,2,Closed,109
2024,2,Open,18
