animal,animals
Bats,"bat, bats"
Beavers,beaver
Birds,"bird, birds"
Bulls,bull
Bunnies,"bunnies, bunny"
Cats,"cat, cats"
Chicken,"chicken, chickens"
Chipmunk,chipmunk
Coyotes,"coyote, coyotes"
Crows,crow
Deers,deer
Dogs,"dog, dog, dogs"
Doves,dove
Ducks,"duck, ducks"
Falcons,falcon
Ferrets,ferret
Fish,fish
Fox,fox
Geese,geese
Goose,goose
Groundhog,groundhog
Gulls,gull
Hawks,hawk
Hogs,hog
Kitten,"kitten, kittens"
Mouse,mouse
Opossum,opossum
Owl,owl
Parakeet,parakeet
Pigs,pig
Pigeons,"pigeon, pigeons"
Pig,pigs
Possum,possum
Puppies,puppies
Rabbits,"rabbit, rabbit, rabbits"
Raccoons,"raccoon, raccoon, raccoons, racoon"
Roosters,rooster
Seagulls,"seagul, seagull, seagulls"
Skunks,"skunk, skunks, scunk"
Snakes,"snake, snakes"
Sparrows,sparrow
Squirells,"squirel, squirell, squirrel, squirrell, squirrels"
Swans,swan
Turkeys,"turkey, turkey, turkeys"
Turtles,turtle
