zipcode,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10
00000,Animal,Dogs,Squirells,Raccoons,Bunnies,Birds,Owl,Coyotes,,
02108,Animal,Dogs,Birds,Squirells,Pigeons,Ducks,Rabbits,Hawks,Seagulls,Bats
02109,Animal,Birds,Dogs,Seagulls,Pigeons,Rabbits,Hawks,Mouse,Cats,Ducks
02110,Animal,Birds,Dogs,Seagulls,Pigeons,Rabbits,Gulls,Cats,Ducks,Raccoons
02111,Animal,Birds,Seagulls,Dogs,Pigeons,Gulls,Rabbits,Cats,Turkeys,Skunks
02113,Animal,Birds,Pigeons,Dogs,Seagulls,Rabbits,Raccoons,Cats,Mouse,Owl
02114,Animal,Birds,Dogs,Pigeons,Goose,Squirells,Seagulls,Rabbits,Cats,Mouse
02115,Animal,Birds,Dogs,Goose,Rabbits,Cats,Bats,Raccoons,Squirells,Ducks
02116,Animal,Birds,Dogs,Squirells,Rabbits,Pigeons,Cats,Seagulls,Bats,Goose
02118,Animal,Dogs,Birds,Squirells,Cats,Seagulls,Rabbits,Raccoons,Pigeons,Hawks
02119,Animal,Dogs,Cats,Birds,Squirells,Raccoons,Skunks,Bats,Seagulls,Turkeys
02120,Animal,Dogs,Birds,Cats,Raccoons,Bats,Squirells,Rabbits,Skunks,Hawks
02121,Animal,Dogs,Cats,Birds,Squirells,Raccoons,Bats,Skunks,Seagulls,Possum
02122,Animal,Dogs,Cats,Squirells,Rabbits,Birds,Raccoons,Skunks,Possum,Seagulls
02124,Animal,Dogs,Cats,Squirells,Raccoons,Skunks,Birds,Possum,Rabbits,Bats
02125,Animal,Dogs,Cats,Birds,Raccoons,Squirells,Rabbits,Seagulls,Skunks,Turkeys
02126,Animal,Dogs,Cats,Squirells,Raccoons,Skunks,Possum,Birds,Bats,Rabbits
02127,Animal,Dogs,Birds,Squirells,Cats,Skunks,Seagulls,Rabbits,Raccoons,Pigeons
02128,Animal,Dogs,Skunks,Cats,Birds,Squirells,Raccoons,Rabbits,Possum,Pigeons
02129,Animal,Dogs,Squirells,Birds,Rabbits,Cats,Skunks,Seagulls,Bunnies,Pigeons
02130,Animal,Dogs,Squirells,Raccoons,Birds,Rabbits,Bats,Cats,Skunks,Goose
02131,Animal,Dogs,Raccoons,Squirells,Cats,Rabbits,Birds,Skunks,Bats,Possum
02132,Animal,Dogs,Squirells,Rabbits,Raccoons,Cats,Birds,Skunks,Bats,Turkeys
02133,Animal,Squirells,,,,,,,,
02134,Animal,Dogs,Birds,Cats,Rabbits,Squirells,Raccoons,Goose,Pigeons,Bats
02135,Animal,Dogs,Squirells,Birds,Rabbits,Cats,Raccoons,Bats,Goose,Skunks
02136,Animal,Dogs,Cats,Squirells,Raccoons,Birds,Skunks,Rabbits,Goose,Possum
02151,Animal,,,,,,,,,
02163,Animal,Dogs,,,,,,,,
02199,Animal,Dogs,Birds,Hawks,Pigeons,Ducks,Seagulls,,,
02201,Animal,Birds,,,,,,,,
02203,Animal,Dogs,Hawks,Seagulls,Birds,Pigeons,,,,
02210,Animal,Birds,Seagulls,Gulls,Rabbits,Dogs,Pigeons,Goose,Skunks,Owl
02215,Animal,Birds,Goose,Dogs,Squirells,Rabbits,Bats,Pigeons,Hawks,Cats
02446,Animal,,,,,,,,,
02467,Animal,Dogs,Raccoons,Goose,Cats,Squirells,Rabbits,Birds,Parakeet,Possum
